Site,Lat,Lon,PFT
CA-Oas,53.62889,-106.19779,DBF
FR-Fon,48.47636,2.7801,DBF
DE-Hzd,50.96381,13.48978,DBF
US-xSC,38.8929,-78.1395,DBF
US-xBL,39.0603,-78.0716,DBF
DE-HoH,52.08656,11.22235,DBF
US-xML,37.3783,-80.5248,DBF
BR-CST,-7.9682,-38.3842,DNF
US-Goo,34.2547,-89.8735,GRA
US-AR1,36.4267,-99.42,GRA
CH-Cha,47.21022,8.41044,GRA
US-Cop,38.09,-109.39,GRA
US-xAE,35.4106,-99.0588,GRA
IT-MBo,46.01468,11.04583,GRA
DE-Gri,50.95004,13.51259,GRA
RU-Ha1,54.72517,90.00215,GRA
US-xKZ,39.1008,-96.5631,GRA
AU-TTE,-22.287,133.64,GRA
US-ARc,35.5465,-98.04,GRA
CH-Oe1,47.28583,7.73194,GRA
US-Mo2,38.9488,-91.9945,GRA
US-Kon,39.0824,-96.5603,GRA
DE-RuR,50.621914,6.304126,GRA
CN-Sw2,41.7902,111.8971,GRA
US-xDC,47.1617,-99.1066,GRA
US-xWD,47.1282,-99.2414,GRA
US-NGC,64.8618,-163.7002,GRA
US-Snf,38.0402,-121.7272,GRA
US-ARb,35.5497,-98.0402,GRA
AU-Stp,-17.1507,133.3502,GRA
PA-SPs,9.31378,-79.63143,GRA
US-IB2,41.84062,-88.24103,GRA
US-Hn2,46.6889,-119.4641,GRA
CH-Fru,47.11583,8.53778,GRA
CN-HaM,37.37,101.18,GRA
CZ-BK2,49.49443,18.54285,GRA
FR-Tou,43.572857,1.37474,GRA
US-Wkg,31.7365,-109.9419,GRA
US-AR2,36.6358,-99.5975,GRA
CN-Du3,42.0551,116.2809,GRA
CN-Du2,42.0467,116.2836,GRA
US-SRG,31.7894,-110.8277,GRA
CH-Aws,46.583306,9.790417,GRA
AU-Rig,-36.6499,145.5759,GRA
US-KLS,38.7745,-97.5684,GRA
AU-Ync,-34.9893,146.2907,GRA
US-KFS,39.0561,-95.1907,GRA
CA-MA3,50.1774,-97.8686,GRA
US-A32,36.8193,-97.8198,GRA
IT-Tor,45.84444,7.57806,GRA
AU-Emr,-23.8587,148.4746,GRA
US-Ro4,44.6781,-93.0723,GRA
US-Var,38.4133,-120.9507,GRA
US-BRG,39.2167,-86.5406,GRA
CN-Dan,30.4978,91.0664,GRA
US-xCP,40.8155,-104.7456,GRA
AT-Neu,47.11667,11.3175,GRA
US-xCL,33.4012,-97.57,GRA
US-Ne3,41.17967,-96.43965,CRO
CH-Oe2,47.28642,7.73375,CRO
US-Ro2,44.7288,-93.0888,CRO
DE-Kli,50.89306,13.52238,CRO
FI-Jok,60.8986,23.51345,CRO
US-Tw2,38.1047,-121.6433,CRO
US-Tw3,38.1152,-121.6469,CRO
US-Twt,38.1087204,-121.6531,CRO
US-Ro6,44.6946,-93.0578,CRO
US-DFC,43.3448,-89.7117,CRO
DE-Geb,51.09973,10.91463,CRO
US-CS4,44.1597,-89.5475,CRO
US-CF3,46.7551,-117.1261,CRO
US-Ro5,44.691,-93.0576,CRO
US-Ne1,41.16506,-96.47664,CRO
CA-MA2,50.171,-97.8762,CRO
BE-Lon,50.55162,4.74623,CRO
IT-BCi,40.52375,14.957444,CRO
US-Mo1,39.2298,-92.1167,CRO
US-CRT,41.6285,-83.3471,CRO
US-CF1,46.7815,-117.0821,CRO
US-RGA,34.4159,-91.6733,CRO
US-A74,36.8085,-97.5489,CRO
US-ARM,36.6058,-97.4888,CRO
DE-RuS,50.865906,6.4471445,CRO
US-Bi1,38.0992,-121.4993,CRO
FI-Qvd,60.295242,22.391607,CRO
DE-Seh,50.87062,6.44965,CRO
FR-Lam,43.496437,1.237878,CRO
CA-MA1,50.1645,-97.8762,CRO
FR-Gri,48.84422,1.95191,CRO
US-Lin,36.3566,-119.8423,CRO
US-Ne2,41.16487,-96.4701,CRO
US-RGB,39.5782,-121.8579,CRO
CZ-KrP,49.573257,15.078773,CRO
US-RGo,39.6805,-122.0026,CRO
US-CS1,44.1031,-89.5379,CRO
DK-Fou,56.4842,9.58722,CRO
IT-CA2,42.37722,12.02604,CRO
US-CS3,44.1394,-89.5727,CRO
CA-ER1,43.6405,-80.4123,CRO
US-Rms,43.0645,-116.7486,CSH
IT-Noe,40.60618,8.15169,CSH
BE-Maa,50.97987,5.631851,CSH
US-KS2,28.6086,-80.6715,CSH
US-Rwf,43.1207,-116.7231,CSH
US-Rls,43.1439,-116.7356,CSH
ES-Agu,36.940046,-2.033208,OSH
US-xJR,32.5907,-106.8425,OSH
CA-SF3,54.09156,-106.00526,OSH
US-ICh,68.6068,-149.2958,OSH
US-xNQ,40.1776,-112.4524,OSH
US-Fcr,65.3968,-148.9348,OSH
CA-NS6,55.9167,-98.9644,OSH
US-Wi7,46.6491,-91.0693,OSH
US-Jo2,32.5849,-106.6032,OSH
US-xMB,38.2483,-109.3883,OSH
US-Wi6,46.624889,-91.298222,OSH
US-Whs,31.7438,-110.0522,OSH
ES-Ln2,36.9695,-3.47582,OSH
US-Rws,43.1675,-116.7132,OSH
US-ICt,68.6063,-149.3041,OSH
US-Jo1,32.582,-106.635,OSH
US-xSR,31.9107,-110.8355,OSH
ES-Amo,36.83361,-2.25232,OSH
ES-LJu,36.92659,-2.75212,OSH
US-xHE,63.8757,-149.2133,OSH
CA-NS7,56.63583,-99.94833,OSH
US-Hn3,46.6878,-119.4614,OSH
US-Sta,41.3966,-106.8024,OSH
US-NC4,35.7879,-75.9038,WET
PE-QFR,-3.8344,-73.319,WET
US-BZB,64.6955,-148.3208,WET
CA-CF1,58.6658,-93.83,WET
AR-TF1,-54.9733,-66.7335,WET
CA-ARB,52.695,-83.9452,WET
US-ORv,40.0201,-83.0183,WET
SE-Deg,64.18203,19.55654,WET
US-Srr,38.2006,-122.0264,WET
DE-Zrk,53.87594,12.88901,WET
CA-ARF,52.7008,-83.955,WET
FI-Lom,67.99724,24.20918,WET
US-Tw1,38.1074,-121.6469,WET
US-Los,46.0827,-89.9792,WET
US-Tw4,38.1027,-121.6413,WET
US-Myb,38.049861,-121.76498,WET
AU-Fog,-12.5452,131.3072,WET
CA-DB2,49.119,-122.9951,WET
US-StJ,39.0882,-75.4372,WET
US-WPT,41.464639,-82.996157,WET
US-ALQ,46.0308,-89.6067,WET
US-BZF,64.7013,-148.3121,WET
CZ-wet,49.02465,14.77035,WET
FI-Sii,61.83265,24.19285,WET
GL-ZaF,74.48143,-20.55452,WET
DE-Akm,53.86617,13.68342,WET
US-EDN,37.6156,-122.114,WET
GL-NuF,64.13083,-51.38611,WET
US-ICs,68.6058,-149.311,WET
US-Ivo,68.4865,-155.7503,WET
CA-DBB,49.1293,-122.9849,WET
US-Atq,70.4696,-157.4089,WET
CN-Ha2,37.6086,101.3269,WET
US-xBA,71.2824,-156.6194,WET
ES-Cnd,37.914998,-3.227659,WSA
BR-Npw,-16.498,-56.412,WSA
US-Mpj,34.4385,-106.2377,WSA
US-SRM,31.8214,-110.8661,WSA
US-Ton,38.4316,-120.96598,WSA
AU-Gin,-31.3764,115.7138,WSA
AU-Ade,-13.0769,131.1178,WSA
AU-Dry,-15.2588,132.3706,SAV
US-Wjs,34.4255,-105.8615,SAV
AU-DaS,-14.1593,131.3881,SAV
US-xSJ,37.1088,-119.7323,SAV
ES-LM1,39.94269,-5.778683,SAV
ES-Abr,38.701839,-6.785881,SAV
SN-Dhr,15.40278,-15.43222,SAV
US-LS2,31.5659,-110.1344,SAV
AU-GWW,-30.1913,120.6541,SAV
CG-Tch,-4.28917,11.65642,SAV
ES-LM2,39.934592,-5.775881,SAV
US-xDS,28.125,-81.4362,CVM
US-HWB,40.8608,-77.8488,CVM
CN-Lsh,45.27984,127.5782089,DNF
ID-PaD,-2.34607,114.0364075,EBF
ID-Pag,-2.32392,113.9043884,EBF
JP-Api,40.00136,140.93659,DBF
JP-BBY,43.32296,141.810791,WET
JP-Fhk,35.44356,138.76469,DNF
JP-Fjy,35.45454,138.7622528,ENF
JP-Hc2,34.53752,133.9275513,CRO
JP-Hc3,34.53967,133.9117279,CRO
JP-Khw,33.13658,130.7083435,ENF
JP-Kzw,36.40667,138.5724945,DBF
JP-MBF,44.38417,142.31861,DBF
JP-MMF,44.32194,142.26139,MF
JP-Mse,36.05393,140.0269318,CRO
JP-Nkm,35.80806,137.8338776,ENF
JP-NsC,36.915,139.93667,GRA
JP-NsM,36.91583,139.93583,GRA
JP-Sb1,45.10472,141.6881866,WET
JP-Sb2,45.10361,141.6808319,WET
JP-Shn,35.86576,137.9325562,MF
JP-Spp,42.98684,141.3853302,DBF
JP-Srk,40.56549,140.1277924,DBF
JP-Ta2,36.13972,137.3708344,ENF
JP-Tak,36.14617,137.423111,DBF
JP-Tdf,35.03589,137.1857758,DBF
JP-Tef,45.05581,142.1071167,DNF
JP-Tgf,36.11353,140.0948792,GRA
JP-Tkb,36.17338,140.17663,ENF
JP-Tmd,42.73591,141.5231476,DNF
JP-Toc,42.70973,141.5659027,DBF
JP-Tom,42.69891,141.5714874,DBF
JP-Yms,34.79028,135.8409424,DBF
JP-Ynf,26.751,128.21267,EBF
KH-Kmp,12.74458,105.478569,EBF
MN-Hst,47.59413,105.8564377,GRA
MN-Kbu,47.21397,108.7373276,GRA
MN-Skt,48.35186,108.6543274,DNF
RU-NeC,62.31484,129.5000763,OSH
RU-Sk2,62.24129,129.6513367,ENF
RU-SkP,62.25471,129.61854,DNF
RU-Tur,64.20889,100.463562,DNF
TH-Kog,18.8,98.90000153,EBF
ARo,38.0443,100.4646,GRA
ARS,38.0473,100.4643,GRA
DDS,38.0142,100.2421,GRA
DMS,38.8555,100.3722,GRA
GTa,38.5333,100.25,GRA
HHL,41.9903,101.1335,GRA
HZZ,38.7652,100.3186,GRA
JYL,37.8384,101.116,GRA
YKe,38.8571,100.4103,CRO
ZYW,38.9751,100.4464,CRO
